Fund Holdings as of,"11/Aug/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"TRN","TERNA RETE ELETTRICA NAZIONALE","Utilities","Equity","4’009’011.48","0.66","4’009’011.48","406’511.00","9.86","Italy","Borsa Italiana","EUR"
"BOL","BOLIDEN","Materials","Equity","3’965’225.89","0.65","3’965’225.89","82’171.00","48.26","Sweden","Nasdaq Omx Nordic","SEK"
"SGRO","SEGRO REIT PLC","Real Estate","Equity","3’937’188.05","0.65","3’937’188.05","353’380.00","11.14","United Kingdom","London Stock Exchange","GBP"
"RI","PERNOD RICARD SA","Consumer Staples","Equity","3’914’114.12","0.64","3’914’114.12","56’546.00","69.22","France","Nyse Euronext - Euronext Paris","EUR"
"INF","INFORMA PLC","Communication","Equity","3’893’574.58","0.64","3’893’574.58","368’919.00","10.55","United Kingdom","London Stock Exchange","GBP"
"EDP","EDP ENERGIAS DE PORTUGAL","Utilities","Equity","3’842’316.27","0.63","3’842’316.27","849’694.00","4.52","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"KRZ","KERRY GROUP PLC","Consumer Staples","Equity","3’785’225.55","0.62","3’785’225.55","46’077.00","82.15","Ireland","Irish Stock Exchange - All Market","EUR"
"BT.A","BT GROUP PLC","Communication","Equity","3’785’069.36","0.62","3’785’069.36","1’650’101.00","2.29","United Kingdom","London Stock Exchange","GBP"
"LOGN","LOGITECH INTERNATIONAL","Information Technology","Equity","3’784’346.29","0.62","3’784’346.29","41’841.00","90.45","Switzerland","SIX Swiss Exchange","CHF"
"CLNX","CELLNEX TELECOM","Communication","Equity","3’740’478.46","0.61","3’740’478.46","138’178.00","27.07","Spain","Bolsa De Madrid","EUR"
"TIT","TELECOM ITALIA","Communication","Equity","3’738’397.83","0.61","3’738’397.83","498’586.00","7.50","Italy","Borsa Italiana","EUR"
"BG","BAWAG GROUP AG","Financials","Equity","3’687’535.50","0.60","3’687’535.50","20’317.00","181.50","Austria","Wiener Boerse Ag","EUR"
"SOON","SONOVA HOLDING AG","Health Care","Equity","3’650’094.16","0.60","3’650’094.16","14’292.00","255.39","Switzerland","SIX Swiss Exchange","CHF"
"NESTE","NESTE","Energy","Equity","3’626’495.08","0.59","3’626’495.08","122’434.00","29.62","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
