Fund Holdings as of,"09/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"CA","CARREFOUR SA","Consumer Staples","Equity","4’643’077","0.86","4’643’076.74","284’241","16.34","France","Nyse Euronext - Euronext Paris","EUR"
"BKT","BANKINTER SA","Financials","Equity","4’600’395","0.85","4’600’394.98","303’857","15.14","Spain","Bolsa De Madrid","EUR"
"AGN","AEGON LTD","Financials","Equity","4’532’644","0.84","4’532’643.50","588’655","7.70","Netherlands","Euronext Amsterdam","EUR"
"UNI","UNIPOL ASSICURAZIONI SPA","Financials","Equity","4’528’546","0.84","4’528’545.66","173’574","26.09","Italy","Borsa Italiana","EUR"
"AC","ACCOR SA","Consumer Discretionary","Equity","4’413’024","0.82","4’413’024.06","90’691","48.66","France","Nyse Euronext - Euronext Paris","EUR"
"AKZA","AKZO NOBEL NV","Materials","Equity","4’281’872","0.79","4’281’871.90","74’989","57.10","Netherlands","Euronext Amsterdam","EUR"
"FORTUM","FORTUM","Utilities","Equity","4’247’389","0.79","4’247’388.73","216’593","19.61","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"G1A","GEA GROUP AG","Industrials","Equity","4’230’599","0.78","4’230’598.75","70’805","59.75","Germany","Xetra","EUR"
"OMV","OMV AG","Energy","Equity","4’200’151","0.78","4’200’151.00","71’189","59.00","Austria","Wiener Boerse Ag","EUR"
"BVI","BUREAU VERITAS SA","Industrials","Equity","4’138’090","0.77","4’138’090.40","153’490","26.96","France","Nyse Euronext - Euronext Paris","EUR"
"BCP","BANCO COMERCIAL PORTUGUES SA","Financials","Equity","4’087’355","0.76","4’087’355.44","3’937’722","1.04","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"RXL","REXEL SA","Industrials","Equity","4’071’835","0.75","4’071’834.62","107’323","37.94","France","Nyse Euronext - Euronext Paris","EUR"
"FGR","EIFFAGE SA","Industrials","Equity","4’012’406","0.74","4’012’406.30","33’133","121.10","France","Nyse Euronext - Euronext Paris","EUR"
"HEIO","HEINEKEN HOLDING NV","Consumer Staples","Equity","3’966’454","0.73","3’966’454.20","58’074","68.30","Netherlands","Euronext Amsterdam","EUR"
"GALP","GALP ENERGIA SGPS SA CLASS B","Energy","Equity","3’860’475","0.71","3’860’474.80","196’963","19.60","Portugal","Nyse Euronext - Euronext Lisbon","EUR"
"FME","FRESENIUS MEDICAL CARE AG","Health Care","Equity","3’856’769","0.71","3’856’769.36","92’179","41.84","Germany","Xetra","EUR"
"CON","CONTINENTAL AG","Consumer Discretionary","Equity","3’824’577","0.71","3’824’576.70","53’193","71.90","Germany","Xetra","EUR"
"ERF","EUROFINS SCIENTIFIC","Health Care","Equity","3’805’878","0.70","3’805’878.40","55’318","68.80","France","Nyse Euronext - Euronext Paris","EUR"
"MICC","MAGNUM ICE CREAM NV","Consumer Staples","Equity","3’773’761","0.70","3’773’761.26","236’956","15.93","Netherlands","Euronext Amsterdam","EUR"
"ORNBV","ORION CLASS B","Health Care","Equity","3’739’573","0.69","3’739’573.30","53’006","70.55","Finland","Nasdaq Omx Helsinki Ltd.","EUR"
"LI","KLEPIERRE REIT SA","Real Estate","Equity","3’737’682","0.69","3’737’681.92","104’288","35.84","France","Nyse Euronext - Euronext Paris","EUR"
"TEN","TENARIS SA","Energy","Equity","3’723’650","0.69","3’723’650.20","155’476","23.95","Italy","Borsa Italiana","EUR"
"QIA","QIAGEN NV","Health Care","Equity","3’659’519","0.68","3’659’519.32","99’796","36.67","Germany","Deutsche Boerse Xetra","EUR"
"ABVX","ABIVAX SA","Health Care","Equity","3’587’276","0.66","3’587’276.00","29’260","122.60","France","Nyse Euronext - Euronext Paris","EUR"
"RBI","RAIFFEISEN BANK INTERNATIONAL AG","Financials","Equity","3’459’740","0.64","3’459’739.50","63’774","54.25","Austria","Wiener Boerse Ag","EUR"
"HOT","HOCHTIEF AG","Industrials","Equity","3’333’330","0.62","3’333’330.00","7’150","466.20","Germany","Xetra","EUR"
"KBX","KNORR BREMSE AG","Industrials","Equity","3’184’032","0.59","3’184’032.00","31’216","102.00","Germany","Xetra","EUR"
"TLX","TALANX AG","Financials","Equity","3’150’173","0.58","3’150’173.00","28’795","109.40","Germany","Xetra","EUR"
"BNR","BRENNTAG","Industrials","Equity","3’105’271","0.58","3’105’271.08","55’971","55.48","Germany","Xetra","EUR"
"RED","REDEIA CORPORACION SA","Utilities","Equity","3’068’443","0.57","3’068’443.32","201’606","15.22","Spain","Bolsa De Madrid","EUR"
"IAG","INTERNATIONAL AIRLINES GROUP SA","Industrials","Equity","3’034’367","0.56","3’034’366.83","555’338","5.46","Spain","Bolsa De Madrid","EUR"
"DHER","DELIVERY HERO","Consumer Discretionary","Equity","2’981’167","0.55","2’981’167.28","81’032","36.79","Germany","Xetra","EUR"
"ANA","ACCIONA SA","Utilities","Equity","2’955’827","0.55","2’955’827.00","11’795","250.60","Spain","Bolsa De Madrid","EUR"
"IG","ITALGAS","Utilities","Equity","2’918’980","0.54","2’918’980.40","293’660","9.94","Italy","Borsa Italiana","EUR"
