Fund Holdings as of,"09/Jul/2026"
 
Ticker,Name,Sector,Asset Class,Market Value,Weight (%),Notional Value,Shares,Price,Location,Exchange,Market Currency
"AVOL","AVOLTA AG","Consumer Discretionary","Equity","15’381’535","0.27","15’381’534.60","294’102","52.30","Switzerland","SIX Swiss Exchange","CHF"
"SQN","SWISSQUOTE GROUP HOLDING SA","Financials","Equity","15’069’308","0.26","15’069’307.80","361’895","41.64","Switzerland","SIX Swiss Exchange","CHF"
"EMSN","EMS-CHEMIE HOLDING AG","Materials","Equity","13’928’891","0.24","13’928’890.50","20’349","684.50","Switzerland","SIX Swiss Exchange","CHF"
"FHZN","FLUGHAFEN ZUERICH AG","Industrials","Equity","13’814’548","0.24","13’814’548.00","56’617","244.00","Switzerland","SIX Swiss Exchange","CHF"
"GALE","GALENICA AG","Health Care","Equity","13’012’937","0.23","13’012’937.00","149’660","86.95","Switzerland","SIX Swiss Exchange","CHF"
"BARN","BARRY CALLEBAUT AG","Consumer Staples","Equity","12’072’995","0.21","12’072’995.00","10’637","1’135.00","Switzerland","SIX Swiss Exchange","CHF"
"ALLN","ALLREAL HOLDING AG","Real Estate","Equity","10’773’477","0.19","10’773’477.00","50’226","214.50","Switzerland","SIX Swiss Exchange","CHF"
"TEMN","TEMENOS AG","Information Technology","Equity","10’650’927","0.19","10’650’926.70","152’811","69.70","Switzerland","SIX Swiss Exchange","CHF"
"BCVN","BC VAUD N","Financials","Equity","10’381’134","0.18","10’381’134.40","84’952","122.20","Switzerland","SIX Swiss Exchange","CHF"
"GF","GEORG FISCHER AG","Industrials","Equity","10’197’133","0.18","10’197’133.10","232’705","43.82","Switzerland","SIX Swiss Exchange","CHF"
"SIGN","SIG GROUP N AG","Materials","Equity","10’057’466","0.18","10’057’466.22","753’933","13.34","Switzerland","SIX Swiss Exchange","CHF"
"SFZN","SIEGFRIED HOLDING AG","Health Care","Equity","9’438’206","0.17","9’438’206.40","130’272","72.45","Switzerland","SIX Swiss Exchange","CHF"
"HUBN","HUBER & SUHNER AG","Industrials","Equity","9’397’623","0.16","9’397’623.20","48’292","194.60","Switzerland","SIX Swiss Exchange","CHF"
"COTN","COMET HOLDING AG","Information Technology","Equity","9’110’795","0.16","9’110’795.40","23’373","389.80","Switzerland","SIX Swiss Exchange","CHF"
"ADEN","ADECCO GROUP AG","Industrials","Equity","8’703’776","0.15","8’703’776.14","523’378","16.63","Switzerland","SIX Swiss Exchange","CHF"
"BION","BB BIOTECH AG","Health Care","Equity","8’620’328","0.15","8’620’327.50","167’385","51.50","Switzerland","SIX Swiss Exchange","CHF"
"IFCN","INFICON HOLDING AG","Information Technology","Equity","8’617’392","0.15","8’617’392.00","51’912","166.00","Switzerland","SIX Swiss Exchange","CHF"
"CMBN","CEMBRA MONEY BANK AG","Financials","Equity","8’421’361","0.15","8’421’360.50","90’455","93.10","Switzerland","SIX Swiss Exchange","CHF"
"SUNN","SUNRISE N CLASS A LTD","Communication","Equity","8’029’378","0.14","8’029’377.84","201’036","39.94","Switzerland","SIX Swiss Exchange","CHF"
"BKW","BKW N AG","Utilities","Equity","7’905’954","0.14","7’905’954.10","59’939","131.90","Switzerland","SIX Swiss Exchange","CHF"
"MOBN","MOBIMO HOLDING AG","Real Estate","Equity","7’796’858","0.14","7’796’857.50","22’437","347.50","Switzerland","SIX Swiss Exchange","CHF"
"VATN","VALIANT HOLDING AG","Financials","Equity","7’714’476","0.14","7’714’476.00","47’916","161.00","Switzerland","SIX Swiss Exchange","CHF"
"SUN","SULZER AG LTD","Industrials","Equity","7’355’975","0.13","7’355’974.50","52’731","139.50","Switzerland","SIX Swiss Exchange","CHF"
"VZN","VZ HOLDING AG","Financials","Equity","7’326’026","0.13","7’326’025.60","46’544","157.40","Switzerland","SIX Swiss Exchange","CHF"
"SFSN","SFS GROUP AG","Industrials","Equity","7’201’501","0.13","7’201’500.80","54’392","132.40","Switzerland","SIX Swiss Exchange","CHF"
"DKSH","DKSH HOLDING AG","Industrials","Equity","6’963’467","0.12","6’963’466.90","107’627","64.70","Switzerland","SIX Swiss Exchange","CHF"
"BANB","BACHEM HOLDING AG","Health Care","Equity","6’920’644","0.12","6’920’643.60","93’396","74.10","Switzerland","SIX Swiss Exchange","CHF"
"TECN","TECAN GROUP AG","Health Care","Equity","6’866’475","0.12","6’866’475.00","39’237","175.00","Switzerland","SIX Swiss Exchange","CHF"
"EFGN","EFG INTERNATIONAL AG","Financials","Equity","6’824’860","0.12","6’824’860.00","416’150","16.40","Switzerland","SIX Swiss Exchange","CHF"
"EMMN","EMMI AG","Consumer Staples","Equity","6’757’680","0.12","6’757’680.00","7’610","888.00","Switzerland","SIX Swiss Exchange","CHF"
"UHRN","THE SWATCH GROUP AG","Consumer Discretionary","Equity","6’638’463","0.12","6’638’462.70","164’522","40.35","Switzerland","SIX Swiss Exchange","CHF"
"VONN","VONTOBEL HOLDING AG","Financials","Equity","6’527’400","0.11","6’527’400.10","85’103","76.70","Switzerland","SIX Swiss Exchange","CHF"
"LUKN","LUZERNER KTBANK AG","Financials","Equity","6’432’346","0.11","6’432’345.60","58’264","110.40","Switzerland","SIX Swiss Exchange","CHF"
"BUCN","BUCHER INDUSTRIES AG","Industrials","Equity","6’067’813","0.11","6’067’812.50","19’417","312.50","Switzerland","SIX Swiss Exchange","CHF"
"AMS","AMS-OSRAM AG","Information Technology","Equity","5’809’919","0.10","5’809’918.50","303’390","19.15","Switzerland","SIX Swiss Exchange","CHF"
"SGKN","ST.GALLER KANTONALBANK AG","Financials","Equity","5’763’954","0.10","5’763’954.00","8’854","651.00","Switzerland","SIX Swiss Exchange","CHF"
"BEKN","BERNER KANTONALBANK AG","Financials","Equity","5’323’572","0.09","5’323’572.00","13’756","387.00","Switzerland","SIX Swiss Exchange","CHF"
"GRKP","GRAUBUNDNER KANTONALBANK PAR","Financials","Equity","5’154’790","0.09","5’154’790.00","2’251","2’290.00","Switzerland","SIX Swiss Exchange","CHF"
"DOKA","DORMAKABA HOLDING AG","Industrials","Equity","4’941’123","0.09","4’941’123.20","92’704","53.30","Switzerland","SIX Swiss Exchange","CHF"
"CLN","CLARIANT AG","Materials","Equity","4’744’094","0.08","4’744’094.25","645’455","7.35","Switzerland","SIX Swiss Exchange","CHF"
"ZUGER","ZUGER KANTONALBANK","Financials","Equity","4’462’650","0.08","4’462’650.00","423","10’550.00","Switzerland","SIX Swiss Exchange","CHF"
"KARN","KARDEX HOLDING AG","Industrials","Equity","4’312’288","0.08","4’312’287.50","18’157","237.50","Switzerland","SIX Swiss Exchange","CHF"
"YPSN","YPSOMED HOLDING AG","Health Care","Equity","4’287’422","0.08","4’287’421.60","11’956","358.60","Switzerland","SIX Swiss Exchange","CHF"
"ARYN","ARYZTA AG","Consumer Staples","Equity","4’215’076","0.07","4’215’076.20","75’539","55.80","Switzerland","SIX Swiss Exchange","CHF"
"SWON","SOFTWAREONE HOLDING AG","Information Technology","Equity","4’214’729","0.07","4’214’729.30","504’758","8.35","Switzerland","SIX Swiss Exchange","CHF"
"BCHN","BURCKHARDT COMPRESSION HOLDING AG","Industrials","Equity","4’182’458","0.07","4’182’457.50","9’243","452.50","Switzerland","SIX Swiss Exchange","CHF"
"SRAIL","STADLER RAIL AG","Industrials","Equity","4’171’171","0.07","4’171’170.72","179’174","23.28","Switzerland","SIX Swiss Exchange","CHF"
"LLBN","LIECHTENSTEINISCHE LANDESBANK","Financials","Equity","4’052’462","0.07","4’052’462.40","35’736","113.40","Switzerland","SIX Swiss Exchange","CHF"
"JFN","JUNGFRAUBAHN HOLDING AG","Industrials","Equity","3’974’277","0.07","3’974’277.00","15’198","261.50","Switzerland","SIX Swiss Exchange","CHF"
"BRKN","BURKHALTER HOLDING AG","Industrials","Equity","3’808’966","0.07","3’808’965.60","25’806","147.60","Switzerland","SIX Swiss Exchange","CHF"
"IDIA","IDORSIA N LTD","Health Care","Equity","3’806’438","0.07","3’806’438.09","597’557","6.37","Switzerland","SIX Swiss Exchange","CHF"
"ALSN","ALSO HOLDING AG","Information Technology","Equity","3’778’400","0.07","3’778’400.00","18’892","200.00","Switzerland","SIX Swiss Exchange","CHF"
"BOSN","BOSSARD HOLDING AG","Industrials","Equity","3’540’878","0.06","3’540’878.00","17’974","197.00","Switzerland","SIX Swiss Exchange","CHF"
"DAE","DAETWYLER HOLDING INC","Industrials","Equity","3’504’782","0.06","3’504’782.00","22’670","154.60","Switzerland","SIX Swiss Exchange","CHF"
"F-GSI","CASH COLLATERAL CHF F-GSI","Cash and/or Derivatives","Cash Collateral and Margins","3’456’000","0.06","3’456’000.00","3’456’000","100.00","Switzerland","-","CHF"
"LAND","LANDIS+GYR GROUP AG","Information Technology","Equity","3’320’013","0.06","3’320’012.80","79’808","41.60","Switzerland","SIX Swiss Exchange","CHF"
"ISN","INTERSHOP HOLDING N AG","Real Estate","Equity","3’279’963","0.06","3’279’963.00","18’615","176.20","Switzerland","SIX Swiss Exchange","CHF"
"IMPN","IMPLENIA AG","Industrials","Equity","3’242’503","0.06","3’242’502.90","47’061","68.90","Switzerland","SIX Swiss Exchange","CHF"
"INRN","INTERROLL HOLDING AG","Industrials","Equity","3’081’452","0.05","3’081’452.00","2’374","1’298.00","Switzerland","SIX Swiss Exchange","CHF"
"CFT","COMPAGNIE FINANCIERE TRADITION SA","Financials","Equity","3’043’781","0.05","3’043’780.50","9’617","316.50","Switzerland","SIX Swiss Exchange","CHF"
"OERL","OC OERLIKON CORPORATION","Industrials","Equity","2’614’481","0.05","2’614’480.50","601’030","4.35","Switzerland","SIX Swiss Exchange","CHF"
"DESN","DOTTIKON ES HOLDING AG","Health Care","Equity","2’586’468","0.05","2’586’468.00","9’651","268.00","Switzerland","SIX Swiss Exchange","CHF"
"MOVE","MEDACTA GROUP SA","Health Care","Equity","2’482’510","0.04","2’482’509.60","18’147","136.80","Switzerland","SIX Swiss Exchange","CHF"
"RSGN","R&S GROUP HOLDING AG","Industrials","Equity","2’459’039","0.04","2’459’039.40","99’315","24.76","Switzerland","SIX Swiss Exchange","CHF"
"SENS","SENSIRION HOLDING AG","Information Technology","Equity","2’425’493","0.04","2’425’492.80","31’176","77.80","Switzerland","SIX Swiss Exchange","CHF"
"FORN","FORBO HOLDING AG","Industrials","Equity","2’387’752","0.04","2’387’752.00","3’298","724.00","Switzerland","SIX Swiss Exchange","CHF"
"VAHN","VAUDOISE ASSURANCES SA","Financials","Equity","2’353’176","0.04","2’353’176.00","2’898","812.00","Switzerland","SIX Swiss Exchange","CHF"
"WKBN","WALLISER KANTONALBANK","Financials","Equity","2’326’838","0.04","2’326’837.50","14’319","162.50","Switzerland","SIX Swiss Exchange","CHF"
"AERO","MONTANA N AG","Industrials","Equity","2’288’375","0.04","2’288’375.30","104’254","21.95","Switzerland","SIX Swiss Exchange","CHF"
"SKAN","SKAN N AG","Health Care","Equity","2’166’120","0.04","2’166’120.40","38’959","55.60","Switzerland","SIX Swiss Exchange","CHF"
"TKBP","THURGAUER KANTONALBANK","Financials","Equity","2’164’140","0.04","2’164’140.00","12’023","180.00","Switzerland","SIX Swiss Exchange","CHF"
"BSLN","BASILEA PHARMACEUTICA AG","Health Care","Equity","1’998’480","0.04","1’998’480.00","36’336","55.00","Switzerland","SIX Swiss Exchange","CHF"
"PPGN","POLYPEPTIDE N AG","Health Care","Equity","1’985’181","0.03","1’985’180.65","42’193","47.05","Switzerland","SIX Swiss Exchange","CHF"
"BCGE","BANQUE CANTONALE DE GENEVE","Financials","Equity","1’968’046","0.03","1’968’046.30","58’399","33.70","Switzerland","SIX Swiss Exchange","CHF"
"ZUGN","ZUG ESTATES HOLDING AG","Real Estate","Equity","1’912’740","0.03","1’912’740.00","898","2’130.00","Switzerland","SIX Swiss Exchange","CHF"
"BLKB","BASELLANDSCHAFTLICHE KANTONALBANK","Financials","Equity","1’904’230","0.03","1’904’230.00","1’747","1’090.00","Switzerland","SIX Swiss Exchange","CHF"
"KURN","KUROS BIOSCIENCES AG","Health Care","Equity","1’896’492","0.03","1’896’491.52","88’704","21.38","Switzerland","SIX Swiss Exchange","CHF"
"HIAG","HIAG IMMOBILIEN HOLDING AG","Real Estate","Equity","1’879’082","0.03","1’879’082.40","13’676","137.40","Switzerland","SIX Swiss Exchange","CHF"
"COPN","COSMO N NV","Health Care","Equity","1’857’613","0.03","1’857’613.20","28’491","65.20","Switzerland","SIX Swiss Exchange","CHF"
"SMG","SMG AG","Communication","Equity","1’804’631","0.03","1’804’631.40","67’716","26.65","Switzerland","SIX Swiss Exchange","CHF"
"BSKP","BASLER KANTONALBANK PAR","Financials","Equity","1’788’716","0.03","1’788’716.40","17’959","99.60","Switzerland","SIX Swiss Exchange","CHF"
"ZEHN","ZEHNDER GROUP AG","Industrials","Equity","1’769’978","0.03","1’769’977.80","28’827","61.40","Switzerland","SIX Swiss Exchange","CHF"
"PLAN","PLAZZA AG","Real Estate","Equity","1’658’706","0.03","1’658’706.00","3’787","438.00","Switzerland","SIX Swiss Exchange","CHF"
"MOZN","MOBILEZONE HOLDING","Consumer Discretionary","Equity","1’644’767","0.03","1’644’766.56","115’992","14.18","Switzerland","SIX Swiss Exchange","CHF"
"FREN","FUNDAMENTA REAL N AG","Real Estate","Equity","1’624’307","0.03","1’624’307.40","93’351","17.40","Switzerland","SIX Swiss Exchange","CHF"
